STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
6,61951,0,1,5
6,61952,0,1,5
6,61953,0,1,3
6,61956,0,1,11
6,61958,0,1,4
6,61958,0,1,5
6,61974,0,1,3
6,61975,0,1,3
6,61976,0,1,3
6,61977,0,1,3
6,61979,0,1,5
6,61980,0,1,3
6,61983,0,1,3
6,61984,0,1,7
6,61991,0,1,3
6,61996,0,1,3
6,62000,0,1,3
6,62004,0,1,3
6,62005,0,1,3
6,62006,0,1,3
6,62009,0,1,14
6,62009,0,2,14
6,62010,0,1,98
6,62012,0,1,3
6,62015,0,1,3
6,62017,0,1,3
6,62023,0,1,3
6,62029,0,1,8
6,62029,0,2,8
6,62033,0,1,5
6,62033,0,1,9
6,62033,0,2,5
6,62033,0,2,9
6,62036,0,1,5
6,62037,0,1,8
6,62039,0,1,8
6,62039,0,2,8
6,62039,0,3,8
6,62041,0,1,3
6,62044,0,1,14
6,62053,0,1,12
6,62056,0,1,3
6,62058,0,1,5
6,62058,0,1,9
6,62061,0,1,14
6,62064,0,1,3
6,62069,0,1,3
6,62071,0,1,3
6,62073,0,1,5
6,62073,0,1,9
6,62075,0,1,3
6,62080,0,1,3
6,62082,0,1,3
6,62083,0,1,3
6,62084,0,1,3
6,62085,0,1,3
6,62086,0,1,3
6,62088,0,1,3
6,62098,0,1,3
6,62100,0,1,3
6,62105,0,1,3
6,62111,0,1,3
6,62115,0,1,3
6,62117,0,1,3
6,62118,0,1,3
6,62120,0,1,3
6,62122,0,1,5
6,62122,0,1,9
6,62124,0,1,3
6,62130,0,1,14
6,62138,0,1,3
6,62140,0,1,3
6,62143,0,1,3
6,62144,0,1,99
6,62145,0,1,3
6,62149,0,1,8
6,62150,0,1,8
6,62153,0,1,3
6,62156,0,1,99
6,62157,0,1,3
6,62159,0,1,5
6,62161,0,1,12
6,62165,0,1,3
6,62165,0,2,3
6,62166,0,1,3
6,62167,0,1,14
6,62168,0,1,3
6,62173,0,1,3
6,62177,0,1,3
6,62178,0,1,3
6,62179,0,1,99
6,62194,0,1,3
6,62195,0,1,3
6,62198,0,1,3
6,62202,0,1,5
6,62210,0,1,3
6,62221,0,1,7
6,62221,0,2,7
6,62223,0,1,3
6,62224,0,1,3
6,62225,0,1,3
6,62226,0,1,3
6,62228,0,1,5
6,62230,0,1,3
6,62235,0,1,3
6,62244,0,1,3
6,62247,0,1,3
6,62248,0,1,3
6,62248,0,2,3
6,62249,0,1,6
6,62250,0,1,5
6,62251,0,1,14
6,62253,0,1,3
6,62257,0,1,3
6,62259,0,1,3
6,62260,0,1,3
6,62261,0,1,3
6,62262,0,1,3
6,62265,0,1,3
6,62276,0,1,5
6,62278,0,1,9
6,62282,0,1,3
6,62284,0,1,5
6,62286,0,1,3
6,62286,0,2,3
6,62287,0,1,3
6,62289,0,1,3
6,62291,0,1,8
6,62293,0,1,7
6,62293,0,2,7
6,62299,0,1,3
6,62302,0,1,6
6,62303,0,1,3
6,62305,0,1,3
6,62306,0,1,3
6,62308,0,1,3
6,62316,0,1,8
6,62320,0,1,3
6,62322,0,1,8
6,62323,0,1,12
6,62325,0,1,3
6,62326,0,1,3
6,62332,0,1,3
6,62335,0,1,3
6,62336,0,1,3
6,62337,0,1,5
6,62341,0,1,3
6,62345,0,1,5
6,62346,0,1,3
6,62350,0,1,3
6,62351,0,1,5
6,62355,0,1,3
6,62355,0,1,12
6,62357,0,1,99
6,62358,0,1,12
6,62360,0,1,8
6,62361,0,1,3
6,62362,0,1,3
6,62367,0,1,14
6,62369,0,1,3
6,62373,0,1,3
6,62376,0,1,3
6,62382,0,1,3
6,62384,0,1,12
6,62386,0,1,8
6,62386,0,1,12
6,62387,0,1,14
6,62388,0,1,3
6,62392,0,1,3
6,62393,0,1,3
6,62394,0,1,3
6,62402,0,1,3
6,62403,0,1,3
6,62404,0,1,3
6,62405,0,1,6
6,62405,0,1,12
6,62406,0,1,3
6,62411,0,1,3
6,62412,0,1,3
6,62414,0,1,3
6,62417,0,1,3
6,62418,0,1,3
6,62418,0,2,3
6,62419,0,1,8
6,62419,0,2,8
6,62420,0,1,3
6,62424,0,1,3
6,62429,0,1,3
6,62432,0,1,3
6,62433,0,1,3
6,62436,0,1,3
6,62439,0,1,3
6,62444,0,1,3
6,62447,0,1,3
6,62449,0,1,3
6,62454,0,1,6
6,62460,0,1,5
6,62465,0,1,3
6,62466,0,1,5
6,62467,0,1,3
6,62468,0,1,3
6,62472,0,1,3
6,62473,0,1,3
6,62474,0,1,3
6,62475,0,1,6
6,62476,0,1,3
6,62477,0,1,3
6,62482,0,1,5
6,62483,0,1,14
6,62489,0,1,3
6,62493,0,1,3
6,62494,0,1,3
6,62498,0,1,3
6,62502,0,1,14
6,62502,0,2,14
6,62502,0,3,14
6,62502,0,4,14
6,62503,0,1,3
6,62507,0,1,3
6,62508,0,1,3
6,62509,0,1,3
6,62511,0,1,8
6,62512,0,1,3
6,62526,0,1,3
6,62528,0,1,8
6,62533,0,1,5
6,62534,0,1,3
6,62541,0,1,14
