STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10161,2,1,12,12,2,3
1,10162,1,1,12,12,2,6
1,10163,1,1,55,63,5555,55
1,10163,2,1,12,8,9999,77
1,10163,3,1,12,8,9999,77
1,10163,4,1,19,53,9999,77
1,10164,1,1,55,64,5555,55
1,10164,2,1,55,69,5555,55
1,10164,3,1,55,63,5555,55
1,10164,4,1,1,24,9999,77
1,10164,5,1,55,69,5555,55
1,10164,6,2,12,12,1,9
1,10164,7,1,55,64,5555,55
1,10164,8,1,12,23,9999,77
1,10164,9,1,0,1,9999,77
1,10165,1,1,55,64,5555,55
1,10165,2,1,55,69,5555,55
1,10165,3,1,55,63,5555,55
1,10165,4,1,12,42,9999,77
1,10165,5,1,0,1,9999,77
1,10165,6,1,6,42,9999,77
1,10165,7,1,6,42,9999,77
1,10166,1,1,12,8,9999,77
1,10167,1,1,0,5,9999,77
1,10168,1,1,55,68,5555,55
1,10168,2,1,55,64,5555,55
1,10168,3,1,12,32,9999,77
1,10168,4,1,0,1,9999,77
1,10169,1,1,55,63,5555,55
1,10169,2,1,12,42,9999,77
1,10170,1,1,55,68,5555,55
1,10170,2,1,55,68,5555,55
1,10170,3,1,55,63,5555,55
1,10170,4,1,12,42,9999,77
1,10171,1,1,55,68,5555,55
1,10171,2,1,55,64,5555,55
1,10171,3,1,12,42,9999,77
1,10172,1,1,55,63,5555,55
1,10172,2,1,12,42,9999,77
1,10172,3,1,98,42,9999,77
1,10172,4,1,12,42,9999,77
1,10172,5,1,0,2,9999,77
1,10173,1,1,55,63,5555,55
1,10173,2,1,7,42,9999,77
1,10173,3,1,0,1,9999,77
1,10174,1,2,12,12,1,3
1,10174,2,2,55,68,5555,55
1,10174,3,2,12,12,3,11
1,10174,4,1,55,68,5555,55
1,10174,5,1,12,12,3,12
1,10175,1,1,12,12,2,12
1,10175,2,2,55,64,5555,55
1,10175,3,2,55,65,5555,55
1,10175,4,2,55,64,5555,55
1,10175,5,2,12,42,9999,77
1,10176,1,1,55,68,5555,55
1,10176,2,1,55,64,5555,55
1,10176,3,1,9,42,9999,77
1,10176,4,1,3,42,9999,77
1,10177,1,1,55,63,5555,55
1,10177,2,1,12,30,9999,77
1,10177,3,1,98,30,9999,77
1,10177,4,1,0,1,9999,77
1,10178,1,1,55,68,5555,55
1,10178,2,1,55,64,5555,55
1,10178,3,1,3,42,9999,77
1,10179,1,1,55,68,5555,55
1,10179,2,1,12,12,2,12
1,10180,1,1,55,64,5555,55
1,10180,2,1,55,65,5555,55
1,10180,3,1,55,65,5555,55
1,10180,4,1,55,69,5555,55
1,10180,5,1,55,63,5555,55
1,10180,6,1,12,32,9999,77
1,10181,1,1,55,63,5555,55
1,10181,2,1,12,30,9999,77
1,10182,1,1,12,8,9999,77
1,10183,1,2,12,12,1,9
1,10184,1,2,12,12,1,8
1,10185,1,1,55,64,5555,55
1,10185,2,1,55,69,5555,55
1,10185,3,1,55,63,5555,55
1,10185,4,1,12,24,9999,77
1,10185,5,1,0,1,9999,77
1,10186,1,1,12,12,2,12
1,10187,1,1,12,12,2,6
1,10188,1,1,55,63,5555,55
1,10188,2,1,12,34,9999,77
1,10189,1,1,12,12,2,12
1,10190,1,1,55,63,5555,55
1,10190,2,1,12,32,9999,77
1,10190,3,1,0,1,9999,77
1,10191,1,1,12,10,9999,77
1,10192,1,1,55,68,5555,55
1,10192,2,1,55,68,5555,55
1,10192,3,1,55,63,5555,55
1,10192,4,1,0,1,9999,77
1,10192,5,1,13,43,9999,77
