STATE,ST_CASE,EVENTNUM,VEH_NO,VEventNum,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10106,4,1,4,1,0,2,9999,77
1,10107,1,1,1,1,55,63,5555,55
1,10107,2,1,2,1,55,69,5555,55
1,10107,3,1,3,1,55,68,5555,55
1,10107,4,1,4,1,55,64,5555,55
1,10107,5,1,5,1,55,69,5555,55
1,10107,6,1,6,1,0,1,9999,77
1,10108,1,1,1,1,55,64,5555,55
1,10108,2,1,2,1,55,65,5555,55
1,10108,3,1,3,1,55,69,5555,55
1,10108,4,1,4,2,12,12,1,4
1,10108,5,1,5,3,12,12,1,12
1,10108,4,2,1,2,12,12,1,4
1,10108,5,3,1,3,12,12,1,12
1,10109,1,1,1,1,55,68,5555,55
1,10109,2,1,2,1,12,12,2,12
1,10109,2,2,1,1,12,12,2,12
1,10110,1,1,1,1,55,68,5555,55
1,10110,2,1,2,1,12,12,2,12
1,10110,2,2,1,1,12,12,2,12
1,10111,1,1,1,2,12,12,1,12
1,10111,1,2,1,2,12,12,1,12
1,10112,1,1,1,1,55,63,5555,55
1,10112,2,1,2,1,55,69,5555,55
1,10112,3,1,3,1,55,68,5555,55
1,10112,4,1,4,1,0,1,9999,77
1,10113,1,1,1,1,55,68,5555,55
1,10113,2,1,2,1,5,12,2,12
1,10113,3,1,3,1,55,64,5555,55
1,10113,4,1,4,1,63,34,9999,77
1,10113,5,1,5,1,0,2,9999,77
1,10113,2,2,1,1,5,12,2,12
1,10114,1,1,1,1,12,12,2,6
1,10114,1,2,1,1,12,12,2,6
1,10114,2,2,2,2,12,12,3,6
1,10114,3,2,3,2,0,1,9999,77
1,10114,2,3,1,2,12,12,3,6
1,10114,4,3,2,3,12,12,4,6
1,10114,4,4,1,3,12,12,4,6
1,10115,1,1,1,1,55,68,5555,55
1,10115,2,1,2,1,12,12,2,12
1,10115,2,2,1,1,12,12,2,12
1,10116,1,1,1,1,55,64,5555,55
1,10116,2,1,2,1,0,1,9999,77
1,10117,1,1,1,1,11,12,2,5
1,10117,1,2,1,1,11,12,2,5
1,10117,2,2,2,2,55,64,5555,55
1,10117,3,2,3,2,99,34,9999,77
1,10118,1,1,1,1,55,68,5555,55
1,10118,2,1,2,2,12,12,1,12
1,10118,2,2,1,2,12,12,1,12
1,10119,1,1,1,1,12,12,2,3
1,10119,1,2,1,1,12,12,2,3
1,10120,1,1,1,1,12,12,2,4
1,10120,1,2,1,1,12,12,2,4
1,10121,1,1,1,1,1,8,9999,77
1,10121,2,2,1,2,12,8,9999,77
1,10121,3,3,1,3,14,8,9999,77
1,10122,1,1,1,2,12,12,1,9
1,10122,2,1,2,1,55,63,5555,55
1,10122,3,1,3,1,83,30,9999,77
1,10122,1,2,1,2,12,12,1,9
1,10123,1,1,1,1,55,68,5555,55
1,10123,2,1,2,1,55,64,5555,55
1,10123,3,1,3,1,11,35,9999,77
1,10123,4,1,4,1,0,1,9999,77
1,10123,5,1,5,1,61,42,9999,77
1,10124,1,1,1,2,12,12,1,9
1,10124,2,1,2,1,81,12,3,10
1,10124,1,2,1,2,12,12,1,9
1,10124,2,3,1,1,81,12,3,10
1,10125,1,1,1,1,55,68,5555,55
1,10125,2,1,2,1,55,64,5555,55
1,10125,3,1,3,1,12,42,9999,77
1,10125,4,1,4,1,81,41,9999,77
1,10126,1,1,1,2,12,12,1,7
1,10126,1,2,1,2,12,12,1,7
1,10127,1,1,1,1,55,68,5555,55
1,10127,2,1,2,1,11,12,2,10
1,10127,3,1,3,1,12,12,3,12
1,10127,2,2,1,1,11,12,2,10
1,10127,3,3,1,1,12,12,3,12
1,10128,1,1,1,1,55,68,5555,55
1,10128,2,1,2,1,55,64,5555,55
1,10128,3,1,3,1,11,42,9999,77
1,10129,1,1,1,1,55,68,5555,55
1,10129,2,1,2,1,55,64,5555,55
1,10129,3,1,3,1,14,33,9999,77
1,10129,4,1,4,1,81,30,9999,77
1,10130,1,1,1,1,55,68,5555,55
1,10130,2,1,2,1,12,12,2,12
1,10130,3,1,3,1,99,23,9999,77
1,10130,4,1,4,1,0,1,9999,77
1,10130,2,2,1,1,12,12,2,12
1,10131,1,1,1,1,55,63,5555,55
1,10131,2,1,2,1,10,19,9999,77
