STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
5,50281,2,1,0,15,7,12,56,14,0,3,0,5,6,12,473,12473,30,2002,1FMZU77E42UA,1,F,M,Z,U,7,7,E,4,2,U,A,P,FORD,EPR,UT,2,17,4340,,0,1259,,G,,F,6,245,,,16R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,62,98,4,4,12,0,0,0,0
5,50507,2,1,0,31,12,0,21,42,0,3,0,5,6,12,481,12481,31,2011,1FTEW1CM5BFA,1,F,T,E,W,1,C,M,5,B,F,A,T,FORD,F1S,CW,11,17,,2,0,1450,COF,F,,,6,226,,,,B,5128,03,7,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,5,6,4,14,0,0,0,0
6,60018,2,1,0,1,1,21,2,14,0,2,0,93,6,82,881,82881,66,1998,1FUPCSZB9WL8,1,F,U,P,C,S,Z,B,9,W,L,8,T,FRHT,FLD,TR,98,17,,8,0,0,CON,D,,,6,774,,,,,00000,00,,64,1,57,1190186,571190186,3,6,1,1,0,0,0,0,0,0,0,0,6,6,4,3,12,0,0,0,0
6,60055,3,2,0,9,1,10,0,12,6,3,0,6,6,35,401,35401,14,1996,JN8AR05S7TW0,J,N,8,A,R,0,5,S,7,T,W,0,P,NISS,PFI,UT,96,17,3850,,0,1063,,G,,F,6,201,,,15R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,11,4,1,54,0,0,0,0
6,60127,2,1,0,26,1,14,33,8,0,2,0,6,6,37,402,37402,14,2009,5J6RE38349L0,5,J,6,R,E,3,8,3,4,9,L,0,P,HOND,CRV,UT,9,17,3389,,0,1031,,G,,F,4,146,,,17R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2,1,8,0,0,0,0
6,60137,2,1,0,22,1,18,38,14,0,2,0,6,6,20,482,20482,31,2003,3GNEC13T63G2,3,G,N,E,C,1,3,T,6,3,G,2,T,CHEV,CAV,CW,3,17,,2,0,1300,AVL,G,,,8,325,,,,B,5400,00,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,4,3,14,0,0,0,0
6,60191,2,1,0,5,2,15,25,33,0,3,0,6,6,12,481,12481,31,1994,1FTEX15Y5RKB,1,F,T,E,X,1,5,Y,5,R,K,B,T,FORD,F15,PC,94,17,,2,1550,1390,COF,G,,,6,300,,,,B,4186,01,M,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,83,83,4,4,12,0,0,0,0
6,60191,3,1,0,5,2,15,25,33,0,3,0,6,6,20,22,20022,4,2006,1G1AK55F1677,1,G,1,A,K,5,5,F,1,6,7,7,P,CHEV,BLS,4D,6,17,3216,,0,1033,,G,,F,4,134,,,15R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,81,81,2,4,12,0,0,0,0
6,60215,2,1,0,11,2,14,0,8,0,2,0,6,6,48,38,48038,6,1998,JF1GF4358WH8,J,F,1,G,F,4,3,5,8,W,H,8,P,SUBA,IL4,SW,98,17,2795,,0,992,,G,,F,4,135,,,15R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,12,2,4,8,0,0,0,0
6,60226,2,1,0,5,2,11,44,14,0,2,0,6,6,35,471,35471,30,1996,1N6SD11S7TC3,1,N,6,S,D,1,1,S,7,T,C,3,T,NISS,XES,PK,96,17,,1,0,1043,TRK,G,,,4,146,,,,B,00000,00,M,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,4,4,14,0,0,0,0
