ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
450782,0,0,0,21,0,0,0,0,0,0
450783,0,0,0,0,0,0,0,0,0,0
450784,22,22,22,22,22,22,22,34,22,22
450785,0,0,0,0,0,0,0,0,0,0
450786,0,0,0,0,0,0,0,0,0,0
450787,0,0,0,0,0,0,0,0,0,0
450788,0,0,25,0,0,14,0,0,7,0
450789,0,0,0,0,0,0,0,0,0,0
450790,0,0,0,0,0,0,0,0,0,0
450791,0,0,0,0,0,0,0,0,0,22
450792,1,1,1,1,1,1,1,1,1,1
450793,0,0,0,0,0,0,0,0,0,0
450794,0,9,0,0,0,0,0,0,0,0
450795,18,18,18,18,18,18,18,18,18,18
450796,0,0,0,0,0,0,0,0,0,0
450797,0,0,0,0,0,0,13,0,2,0
450798,0,0,0,0,0,0,0,0,0,0
450799,0,0,0,0,0,0,0,0,0,0
450800,16,16,16,16,16,16,16,16,16,16
450801,27,27,27,27,27,27,27,27,27,27
450802,13,13,13,13,13,13,13,13,13,13
450803,15,15,15,15,15,15,15,15,15,15
450804,0,0,0,0,0,0,0,0,0,0
450805,12,12,12,12,12,12,12,12,12,12
450806,6,6,6,6,6,6,6,6,6,6
450807,0,0,7,0,0,0,0,0,11,0
450808,27,27,27,27,27,27,27,27,27,27
450809,1,18,20,1,1,1,12,1,1,1
450810,0,0,0,0,0,0,0,0,0,0
450811,0,0,0,0,0,0,0,0,0,0
450812,12,12,12,12,12,12,12,12,12,12
450813,2,2,12,2,2,2,2,2,3,2
450814,0,0,0,0,12,0,0,0,0,16
450815,0,0,0,0,0,0,0,0,0,0
450816,2,2,2,2,2,2,2,2,2,2
450817,0,0,0,0,26,20,11,0,0,0
450818,0,18,0,0,0,0,0,0,0,0
450819,9,0,0,0,0,0,0,0,0,0
450820,0,0,0,0,0,0,0,0,0,0
450821,0,0,0,0,0,0,0,0,0,0
450822,0,0,0,0,0,0,0,0,0,19
450823,23,23,23,23,23,23,23,23,23,23
450824,0,0,0,0,0,0,0,0,0,0
450825,0,0,0,0,0,0,0,0,0,10
450826,0,0,0,0,0,0,0,0,0,0
450827,0,0,0,0,12,0,0,10,0,0
450828,0,0,0,0,0,0,0,0,0,0
450829,0,0,0,0,17,0,0,12,0,0
450830,22,22,22,22,22,22,22,22,22,22
450831,15,15,15,15,15,15,15,15,15,15
450832,0,0,0,0,0,0,0,0,0,0
450833,11,11,11,11,11,11,11,11,11,11
450834,19,18,18,18,18,18,18,18,19,18
450835,37,16,25,30,38,16,20,14,18,20
450836,0,19,0,0,31,15,0,0,0,0
450837,4,19,12,20,7,20,16,18,16,10
450838,0,0,0,0,19,0,9,0,54,14
450839,0,0,0,0,0,0,0,0,0,0
450840,0,0,0,5,0,0,0,0,0,0
450841,0,0,0,0,17,0,0,0,0,0
450842,14,0,0,0,12,0,0,0,0,0
450843,0,0,0,0,0,0,0,0,0,0
450845,0,0,0,3,0,0,0,0,0,0
450846,0,0,0,0,0,0,0,0,0,12
450847,17,17,17,17,17,17,17,17,17,17
450848,0,0,0,0,0,32,16,0,0,0
450849,0,0,0,0,0,0,0,18,0,0
450850,37,0,0,22,0,14,0,0,0,0
450851,0,0,0,0,0,0,18,0,0,0
450852,8,6,8,18,17,15,5,11,17,20
450853,9,19,9,9,9,9,9,9,9,9
450854,0,0,0,0,0,0,0,0,0,0
450855,0,0,0,0,0,0,0,0,0,12
450856,0,0,0,0,0,0,0,0,0,0
450857,0,0,0,0,0,0,0,0,0,0
450858,0,0,0,0,0,0,0,0,0,0
450859,0,0,0,0,0,0,0,0,0,0
450860,18,18,18,18,18,18,18,18,18,18
450861,24,24,24,24,24,24,24,24,24,24
450862,15,0,0,4,0,0,0,0,0,0
450863,16,16,16,16,16,16,16,16,16,16
450864,29,0,0,18,25,0,12,0,0,0
450865,20,20,20,20,20,20,20,20,20,20
450866,28,28,28,28,28,28,28,28,28,28
450867,21,21,21,21,21,21,21,21,21,21
450868,0,0,0,0,0,0,0,0,0,6
450869,0,0,9,0,0,0,10,0,15,0
450870,14,14,14,14,14,14,14,14,14,14
450871,0,0,0,0,0,0,0,0,0,0
450872,0,0,0,0,0,0,0,0,12,0
450873,0,0,0,0,0,0,0,0,4,0
450874,6,0,0,0,0,0,0,0,0,0
450875,0,0,0,0,0,0,0,0,0,7
450876,53,53,53,53,53,53,53,53,53,53
450877,0,0,0,0,0,0,0,0,0,0
450878,0,0,0,0,0,0,0,0,0,0
450879,21,0,27,0,0,0,0,0,0,0
450880,11,11,11,11,11,11,11,11,11,11
450881,0,10,9,17,10,13,10,18,2,6
450882,0,19,0,0,0,0,0,0,0,0
450883,0,0,0,0,0,0,0,0,0,0
450884,0,0,0,0,0,0,0,0,0,0
450885,0,0,0,0,0,0,0,0,0,0
450886,0,33,0,21,0,0,0,0,0,0
450887,0,0,0,0,0,0,0,0,0,0
450888,0,14,0,0,0,21,0,0,0,0
