STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10098,2,1,2,1,12,30,9999,77
1,10098,3,1,3,1,98,38,9999,77
1,10098,4,1,4,1,0,1,9999,77
1,10099,1,1,1,1,55,63,5555,55
1,10099,2,1,2,1,55,69,5555,55
1,10099,3,1,3,1,55,68,5555,55
1,10099,4,1,4,1,55,64,5555,55
1,10099,5,1,5,1,3,42,9999,77
1,10100,1,1,1,1,55,63,5555,55
1,10100,2,1,2,1,1,42,9999,77
1,10101,1,1,1,1,55,63,5555,55
1,10101,2,1,2,1,10,38,9999,77
1,10101,3,1,3,1,19,38,9999,77
1,10102,1,1,1,1,55,64,5555,55
1,10102,2,1,2,1,6,42,9999,77
1,10103,1,1,1,1,12,12,2,6
1,10103,1,2,1,1,12,12,2,6
1,10103,2,2,2,2,12,12,3,6
1,10103,2,3,1,2,12,12,3,6
1,10103,3,3,2,3,12,12,4,6
1,10103,3,4,1,3,12,12,4,6
1,10104,1,1,1,1,12,12,2,1
1,10104,1,2,1,1,12,12,2,1
1,10104,2,2,2,2,55,68,5555,55
1,10104,3,2,3,2,12,12,3,10
1,10104,5,2,4,5,10,12,2,3
1,10104,3,3,1,2,12,12,3,10
1,10104,4,3,2,4,12,12,3,9
1,10104,4,4,1,4,12,12,3,9
1,10104,5,5,1,5,10,12,2,3
1,10105,1,1,1,1,55,68,5555,55
1,10105,2,1,2,1,55,64,5555,55
1,10105,3,1,3,1,12,35,9999,77
1,10105,4,1,4,1,12,35,9999,77
1,10105,5,1,5,1,0,1,9999,77
1,10105,6,1,6,1,0,3,9999,77
1,10106,1,1,1,1,55,63,5555,55
1,10106,2,1,2,1,12,53,9999,77
1,10106,3,1,3,1,12,30,9999,77
1,10106,4,1,4,1,98,30,9999,77
1,10106,5,1,5,1,98,32,9999,77
1,10106,6,1,6,1,0,1,9999,77
1,10106,7,1,7,1,98,14,2,98
1,10106,8,1,8,1,55,67,5555,55
1,10106,9,1,9,1,98,58,9999,77
1,10106,10,1,10,1,55,67,5555,55
1,10106,11,1,11,1,98,58,9999,77
1,10106,7,2,1,1,98,14,2,98
1,10107,1,1,1,1,55,64,5555,55
1,10107,2,1,2,1,12,23,9999,77
1,10107,3,1,3,1,98,33,9999,77
1,10107,4,1,4,1,55,67,5555,55
1,10107,5,1,5,1,98,35,9999,77
1,10107,6,1,6,1,98,21,9999,77
1,10108,1,1,1,1,55,68,5555,55
1,10108,2,1,2,1,55,64,5555,55
1,10108,3,1,3,1,3,42,9999,77
1,10109,1,1,1,1,55,68,5555,55
1,10109,2,1,2,1,12,12,2,12
1,10109,2,2,1,1,12,12,2,12
1,10110,1,1,1,1,55,63,5555,55
1,10110,2,1,2,1,12,32,9999,77
1,10110,3,1,3,1,55,67,5555,55
1,10110,4,1,4,1,98,42,9999,77
1,10110,5,1,5,1,98,58,9999,77
1,10110,6,1,6,1,0,1,9999,77
1,10111,1,1,1,1,55,63,5555,55
1,10111,2,1,2,1,12,39,9999,77
1,10111,3,1,3,1,0,1,9999,77
1,10111,4,1,4,1,0,3,9999,77
1,10112,1,1,1,1,55,68,5555,55
1,10112,2,1,2,1,12,12,2,12
1,10112,2,2,1,1,12,12,2,12
1,10113,1,1,1,1,12,8,9999,77
1,10114,1,1,1,1,12,12,2,2
1,10114,1,2,1,1,12,12,2,2
1,10115,1,1,1,1,55,64,5555,55
1,10115,2,1,2,1,0,1,9999,77
