STATE,ST_CASE,VEH_NO,PER_NO,NMIMPAIR
6,61624,0,1,99
6,61627,0,1,0
6,61632,0,1,99
6,61636,0,1,0
6,61636,0,2,0
6,61639,0,1,0
6,61639,0,2,0
6,61639,0,3,0
6,61641,0,1,0
6,61645,0,1,0
6,61645,0,2,0
6,61651,0,1,0
6,61655,0,1,9
6,61660,0,1,99
6,61666,0,1,99
6,61667,0,1,0
6,61667,0,2,0
6,61669,0,1,0
6,61676,0,1,99
6,61677,0,1,98
6,61678,0,1,0
6,61680,0,1,99
6,61681,0,1,9
6,61683,0,1,99
6,61685,0,1,99
6,61696,0,1,3
6,61699,0,1,0
6,61700,0,1,0
6,61702,0,1,99
6,61707,0,1,99
6,61709,0,1,99
6,61710,0,1,99
6,61712,0,1,0
6,61715,0,1,99
6,61718,0,1,99
6,61726,0,1,99
6,61727,0,1,98
6,61730,0,1,99
6,61732,0,1,99
6,61733,0,1,0
6,61738,0,1,99
6,61744,0,1,0
6,61756,0,1,98
6,61761,0,1,99
6,61764,0,1,9
6,61765,0,1,99
6,61766,0,1,9
6,61767,0,1,99
6,61772,0,1,9
6,61775,0,1,99
6,61776,0,1,0
6,61778,0,1,99
6,61783,0,1,0
6,61786,0,1,0
6,61786,0,2,0
6,61790,0,1,99
6,61792,0,1,9
6,61792,0,2,9
6,61793,0,1,8
6,61794,0,1,0
6,61795,0,1,99
6,61796,0,1,99
6,61802,0,1,0
6,61805,0,1,99
6,61806,0,1,0
6,61807,0,1,99
6,61809,0,1,99
6,61816,0,1,0
6,61818,0,1,99
6,61820,0,1,99
6,61822,0,1,99
6,61824,0,1,99
6,61828,0,1,99
6,61831,0,1,99
6,61833,0,1,98
6,61835,0,1,0
6,61838,0,1,99
6,61839,0,1,99
6,61840,0,1,99
6,61841,0,1,99
6,61844,0,1,99
6,61845,0,1,99
6,61846,0,1,99
6,61849,0,1,0
6,61851,0,1,0
6,61851,0,2,0
6,61852,0,1,99
6,61853,0,1,99
6,61856,0,1,99
6,61859,0,1,99
6,61859,0,2,99
6,61863,0,1,9
6,61864,0,1,99
6,61870,0,1,99
6,61883,0,1,0
6,61883,0,2,0
6,61890,0,1,0
6,61898,0,1,9
6,61900,0,1,9
6,61901,0,1,9
6,61906,0,1,9
6,61906,0,2,0
6,61912,0,1,0
6,61921,0,1,99
6,61923,0,1,99
6,61932,0,1,0
6,61933,0,1,0
6,61935,0,1,0
6,61936,0,1,98
6,61937,0,1,99
6,61940,0,1,10
6,61941,0,1,99
6,61942,0,1,99
6,61951,0,1,9
6,61957,0,1,99
6,61960,0,1,0
6,61966,0,1,99
6,61968,0,1,99
6,61969,0,1,99
6,61972,0,1,9
6,61973,0,1,99
6,61975,0,1,9
6,61977,0,1,99
6,61977,0,2,0
6,61980,0,1,99
6,61981,0,1,0
6,61986,0,1,0
6,61986,0,2,0
6,61992,0,1,9
6,61993,0,1,99
6,61998,0,1,99
6,62000,0,1,99
6,62003,0,1,0
6,62008,0,1,99
6,62011,0,1,99
6,62016,0,1,99
6,62018,0,1,99
6,62019,0,1,9
6,62020,0,1,9
6,62022,0,1,99
6,62024,0,1,99
6,62027,0,1,0
6,62027,0,2,0
6,62027,0,3,0
6,62027,0,4,0
6,62032,0,1,99
6,62033,0,1,99
6,62034,0,1,0
6,62035,0,1,0
6,62036,0,1,9
6,62039,0,1,99
6,62045,0,1,99
6,62048,0,1,99
6,62049,0,1,99
6,62054,0,1,99
6,62057,0,1,99
6,62060,0,1,0
6,62062,0,1,0
6,62067,0,1,9
6,62068,0,1,99
6,62070,0,1,9
6,62071,0,1,99
6,62072,0,1,0
6,62076,0,1,99
6,62076,0,2,99
6,62079,0,1,99
6,62080,0,1,99
6,62082,0,1,99
6,62084,0,1,99
6,62094,0,1,99
6,62099,0,1,0
6,62101,0,1,0
6,62109,0,1,99
6,62114,0,1,0
6,62124,0,1,99
6,62125,0,1,0
6,62128,0,1,99
6,62132,0,1,0
6,62132,0,2,0
6,62142,0,1,99
6,62144,0,1,99
6,62148,0,1,0
6,62149,0,1,98
6,62155,0,1,99
6,62156,0,1,98
6,62158,0,1,99
6,62162,0,1,0
6,62166,0,1,0
6,62167,0,1,0
6,62170,0,1,99
6,62171,0,1,3
6,62177,0,1,9
6,62178,0,1,0
6,62178,0,2,0
6,62180,0,1,0
6,62180,0,2,0
6,62181,0,1,99
6,62186,0,1,99
6,62188,0,1,99
6,62189,0,1,99
6,62190,0,1,9
6,62191,0,1,0
6,62193,0,1,0
6,62197,0,1,99
6,62198,0,1,9
6,62200,0,1,0
6,62203,0,1,99
6,62205,0,1,99
6,62208,0,1,9
6,62210,0,1,0
6,62212,0,1,0
6,62213,0,1,99
6,62215,0,1,99
6,62220,0,1,99
6,62225,0,1,99
6,62226,0,1,99
6,62228,0,1,9
6,62231,0,1,99
6,62232,0,1,0
6,62233,0,1,98
6,62237,0,1,9
6,62238,0,1,9
6,62239,0,1,0
6,62244,0,1,0
6,62247,0,1,99
6,62251,0,1,0
6,62252,0,1,99
6,62253,0,1,9
6,62254,0,1,0
6,62261,0,1,99
6,62266,0,1,0
6,62268,0,1,99
6,62275,0,1,99
6,62277,0,1,0
6,62278,0,1,0
6,62281,0,1,98
6,62282,0,1,9
6,62285,0,1,99
6,62286,0,1,99
6,62287,0,1,99
6,62289,0,1,9
6,62292,0,1,0
6,62292,0,2,0
6,62294,0,1,9
6,62297,0,1,1
6,62297,0,1,9
6,62306,0,1,99
6,62309,0,1,99
6,62311,0,1,99
6,62311,0,2,0
6,62311,0,3,0
6,62312,0,1,98
6,62315,0,1,99
6,62320,0,1,99
6,62324,0,1,99
6,62328,0,1,0
6,62331,0,1,0
6,62335,0,1,9
6,62336,0,1,0
6,62337,0,1,9
6,62339,0,1,99
6,62340,0,1,0
6,62345,0,1,0
6,62345,0,2,0
6,62347,0,1,0
6,62348,0,1,99
6,62349,0,1,99
6,62350,0,1,0
6,62352,0,1,9
6,62353,0,1,0
6,62355,0,1,99
6,62359,0,1,0
6,62361,0,1,99
6,62362,0,1,99
6,62364,0,1,9
6,62365,0,1,99
6,62367,0,1,9
6,62370,0,1,0
6,62374,0,1,0
6,62374,0,2,0
6,62374,0,3,0
6,62378,0,1,99
6,62382,0,1,99
6,62383,0,1,9
6,62387,0,1,99
6,62391,0,1,99
6,62396,0,1,98
6,62401,0,1,9
6,62402,0,1,0
6,62407,0,1,9
6,62411,0,1,0
6,62412,0,1,0
6,62414,0,1,9
6,62415,0,1,99
6,62416,0,1,0
6,62417,0,1,99
6,62420,0,1,99
6,62423,0,1,99
6,62424,0,1,99
6,62425,0,1,99
6,62427,0,1,0
6,62427,0,2,0
6,62430,0,1,9
6,62431,0,1,99
6,62434,0,1,0
6,62435,0,1,0
6,62439,0,1,0
6,62439,0,2,0
6,62440,0,1,99
6,62443,0,1,99
6,62445,0,1,9
6,62447,0,1,0
6,62448,0,1,9
6,62450,0,1,0
6,62453,0,1,9
6,62455,0,1,99
6,62456,0,1,99
6,62458,0,1,98
6,62461,0,1,9
6,62465,0,1,0
6,62467,0,1,9
6,62468,0,1,99
6,62470,0,1,9
6,62472,0,1,99
6,62473,0,1,0
6,62475,0,1,99
6,62486,0,1,9
6,62490,0,1,9
6,62491,0,1,9
6,62492,0,1,3
6,62494,0,1,99
6,62496,0,1,99
6,62497,0,1,0
6,62498,0,1,99
6,62504,0,1,98
6,62505,0,1,99
6,62506,0,1,99
6,62509,0,1,0
6,62510,0,1,99
6,62511,0,1,98
6,62512,0,1,9
6,62513,0,1,9
6,62514,0,1,0
6,62515,0,1,9
6,62516,0,1,99
6,62519,0,1,0
6,62525,0,1,0
6,62540,0,1,99
6,62548,0,1,99
6,62549,0,1,0
6,62552,0,1,99
6,62553,0,1,99
6,62554,0,1,99
6,62555,0,1,0
6,62557,0,1,0
6,62558,0,1,98
6,62560,0,1,99
6,62570,0,1,9
6,62573,0,1,0
6,62573,0,2,0
6,62574,0,1,0
6,62575,0,1,99
6,62578,0,1,0
6,62579,0,1,99
6,62582,0,1,0
6,62586,0,1,9
6,62590,0,1,99
6,62592,0,1,99
6,62595,0,1,99
6,62598,0,1,0
6,62599,0,1,0
6,62602,0,1,9
6,62604,0,1,0
6,62605,0,1,0
6,62606,0,1,0
6,62608,0,1,0
6,62611,0,1,9
6,62617,0,1,0
6,62618,0,1,99
6,62619,0,1,99
6,62621,0,1,99
6,62622,0,1,0
6,62625,0,1,99
6,62626,0,1,9
6,62630,0,1,99
6,62634,0,1,99
6,62634,0,2,99
6,62638,0,1,0
6,62639,0,1,99
6,62639,0,2,99
6,62640,0,1,98
6,62643,0,1,0
6,62644,0,1,99
6,62645,0,1,0
6,62646,0,1,99
6,62647,0,1,99
6,62653,0,1,0
6,62656,0,1,0
6,62659,0,1,99
6,62660,0,1,99
6,62661,0,1,99
6,62663,0,1,0
6,62666,0,1,0
6,62667,0,1,98
6,62668,0,1,98
