ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
480851,0,0,0,0,0,0,0,0,0,0
480852,0,0,0,0,0,0,0,0,0,0
480853,0,0,27,0,37,10,8,9,4,8
480854,22,22,22,22,22,22,22,22,22,22
480855,0,0,0,0,0,0,0,0,0,0
480856,0,0,0,18,20,17,0,0,0,22
480857,32,15,0,7,0,0,19,0,16,0
480858,0,0,0,17,0,0,19,0,0,0
480859,20,0,0,0,0,0,0,0,0,0
480860,0,0,0,18,0,0,0,0,0,0
480861,24,0,14,42,15,0,0,29,0,0
480862,0,0,0,0,0,0,0,0,0,0
480863,0,0,0,0,0,0,0,0,0,0
480864,23,23,23,23,23,23,23,23,23,23
480865,0,0,13,0,0,0,0,7,0,25
480866,5,5,5,5,5,5,5,5,5,5
480867,23,23,23,23,23,23,23,23,23,23
480868,0,0,0,0,0,0,0,0,0,0
480869,0,0,0,0,0,0,0,0,0,0
480870,21,21,21,21,21,21,21,21,21,21
480871,3,22,0,9,10,16,0,5,6,2
480872,29,29,29,29,29,29,29,29,29,29
480873,0,0,0,4,0,0,0,0,0,2
480874,0,18,0,10,0,11,3,0,8,0
480876,19,0,0,0,21,0,0,0,14,0
480877,10,10,10,10,10,10,10,10,10,10
480878,6,6,6,6,6,6,6,6,6,6
480879,0,0,0,0,0,0,0,11,0,0
480880,0,0,17,0,0,4,0,0,0,0
480881,0,0,17,0,0,0,0,11,0,0
480882,0,23,17,7,7,15,14,13,0,16
480883,0,0,0,0,0,0,0,0,0,0
480884,0,0,0,0,0,0,0,0,0,0
480885,0,0,0,0,0,0,0,0,0,0
480886,11,11,11,11,11,11,11,11,11,11
480887,0,3,0,0,0,0,0,0,0,14
480888,18,18,18,18,18,18,18,18,18,18
480889,0,0,0,0,0,14,21,0,12,18
480890,24,21,7,19,8,0,12,16,0,23
480891,26,26,26,26,26,26,26,26,26,26
480892,27,22,27,26,22,22,23,22,22,22
480893,0,0,0,0,0,0,15,0,0,27
480894,24,24,24,24,24,24,24,24,24,24
480895,0,0,0,0,0,0,0,0,0,0
480896,8,8,8,8,8,8,8,8,8,8
480897,15,32,18,25,27,17,14,0,4,16
480898,28,26,20,11,18,29,18,20,29,28
480899,18,18,18,18,18,18,18,18,18,18
480900,0,11,0,0,0,23,21,0,0,0
480901,18,12,0,0,0,11,6,15,18,12
480902,9,0,6,0,16,0,0,19,0,0
