ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN,ROAD_FNC
410087,1,0,8,61,4,1,2015,3,1,45.14546667,-117.9701139,1,0,1,1,4,0,2,1,0,1,0,25,8,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
410088,1,0,1,17,4,1,2015,18,4,44.31437222,-121.2166389,42,0,1,1,4,0,1,1,0,1,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410089,1,0,1,51,4,4,2015,1,6,45.55955278,-122.5129444,30,0,1,1,4,0,3,10,0,1,1,22,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,80,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,4
410090,1,0,1,47,4,6,2015,15,3,44.93024444,-122.668975,42,0,1,1,4,0,1,1,0,1,0,68,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,5
410091,1,0,5,35,4,7,2015,17,4,43.06936944,-121.4285139,1,0,1,1,4,0,1,1,0,1,1,18,3,2,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410092,1,0,5,61,4,7,2015,17,4,45.42403611,-118.0339528,34,0,1,1,4,0,1,1,0,1,1,12,3,2,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,1,7
410093,1,0,3,33,4,7,2015,23,4,42.14767222,-123.539425,42,0,1,1,4,0,2,1,0,1,1,25,2,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,1,6
410094,2,0,2,67,4,7,2015,11,3,45.48508889,-123.1267972,12,98,2,3,1,0,1,1,0,1,0,57,0,2,0,0,0,9,1,0,0,0,0,0,0,1.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,4
410095,1,0,3,19,4,7,2015,23,4,43.06403333,-123.1829639,1,0,1,1,4,0,2,1,0,1,1,35,2,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,6
410096,1,0,2,51,4,1,2015,2,6,45.57439167,-122.6340861,21,0,1,1,4,0,3,1,0,1,1,19,0,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,1,3
