ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410052,1,0,1,5,3,7,2013,20,16,6,45.14554167,-122.5771389,42,0,1,1,5,0,2,1,0,1,1,33,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,1,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410053,2,0,2,67,3,1,2013,13,3,4,45.456075,-122.9022139,12,6,8,1,1,0,1,1,0,1,0,75,1,1,0,0,1,0,1,0,0,0,0,0,0,1.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0
410054,1,1,1,67,4,5,2013,17,15,4,45.48383333,-122.8426972,33,0,1,1,4,0,1,10,0,1,0,35,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,1
410056,1,0,2,57,4,3,2013,14,2,2,45.78064167,-123.3470861,42,0,1,1,4,0,1,1,0,1,0,65,1,1,0,0,1,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410057,2,0,2,19,4,5,2013,15,2,3,43.14805556,-123.3751972,12,6,1,1,1,0,1,1,0,1,0,56,1,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410058,1,1,4,51,4,7,2013,19,13,6,45.50411944,-122.5168306,8,0,1,1,1,0,5,1,0,1,0,27,3,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410059,1,0,1,39,4,4,2013,4,2,3,44.05261667,-123.2665944,42,0,1,1,4,0,2,10,0,1,1,27,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410060,1,0,1,67,2,4,2013,8,15,6,45.42763333,-122.758025,30,0,1,1,4,0,1,10,0,1,0,71,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410061,3,0,6,7,4,6,2013,18,2,2,45.90516111,-123.7501,12,2,1,1,1,0,1,10,0,2,0,40,4,2,0,0,0,1,3,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,99,0
410062,2,0,5,43,4,4,2013,17,2,2,44.42388333,-122.7746556,12,2,2,3,1,0,1,1,0,1,0,33,4,1,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0
410063,2,0,3,51,4,1,2013,0,14,6,45.519025,-122.5377778,12,6,2,2,1,0,3,10,0,1,2,25,1,2,0,0,0,9,2,0,0,0,0,0,0,0.0,1,999,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,11
410064,2,0,3,71,3,3,2013,21,2,3,45.20089167,-123.139525,12,2,1,1,1,0,2,2,0,1,0,28,2,1,0,0,0,9,1,0,0,0,1,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410065,2,0,7,7,4,1,2013,17,2,2,46.17000833,-123.4360389,12,2,1,1,1,0,1,1,0,2,0,22,5,2,0,0,0,9,2,0,0,0,0,0,0,0.0,1,999,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410066,1,0,2,47,5,4,2013,15,6,7,44.84231111,-123.0072667,38,0,1,1,4,0,1,1,0,1,1,52,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,3,0,1,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410067,2,0,2,29,5,6,2013,23,1,1,42.12843056,-122.6302972,12,2,1,1,1,0,3,1,0,1,1,38,2,0,0,0,0,9,1,1,0,0,0,0,0,0.0,1,999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410068,1,0,1,17,5,5,2013,17,15,4,43.6865,-121.4988972,42,0,1,1,4,0,1,10,0,1,0,81,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410069,1,0,2,39,5,7,2013,4,3,4,44.13998611,-123.1482278,1,0,1,1,1,0,3,1,0,2,1,34,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410070,1,4,2,39,5,7,2013,21,4,4,44.00076389,-122.9069444,1,0,1,1,5,0,3,1,0,1,1,45,4,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410071,1,0,3,5,5,6,2013,23,3,4,45.24244722,-122.6870417,30,0,1,1,4,0,3,1,0,1,1,17,3,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410072,1,0,2,51,5,1,2013,4,15,6,45.52470556,-122.6535944,30,0,1,1,4,0,2,10,0,1,0,59,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,0,999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410073,1,1,1,41,5,3,2013,9,2,2,44.91856111,-124.0093,8,0,1,1,1,0,1,1,0,1,0,46,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,1
410074,2,0,5,47,4,2,2013,20,2,4,45.22865833,-122.8784972,12,6,2,2,1,0,2,1,0,1,0,39,2,3,0,0,0,0,1,1,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0
