ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410071,1,0,1,29,5,4,2012,3,4,6,42.435375,-123.1806806,42,0,1,1,4,0,2,1,0,1,1,51,0,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410072,1,0,3,29,5,2,2012,16,6,4,42.31552778,-122.9843083,35,0,1,1,4,0,1,98,0,1,1,32,2,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,2
410074,2,0,2,45,5,4,2012,23,3,3,44.08701667,-116.9792361,12,6,1,1,1,0,2,1,0,1,0,34,2,0,0,0,0,9,1,1,0,0,0,0,0,0.0,1,999,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410075,1,0,1,9,5,5,2012,14,4,3,45.83454167,-123.2256056,42,0,1,1,4,0,1,1,0,1,0,74,0,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410076,1,1,1,53,3,7,2012,11,2,3,44.86309444,-123.2291278,9,0,1,1,1,0,1,1,0,1,0,64,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410077,2,0,2,39,4,6,2012,13,14,6,44.05958333,-123.0632444,12,2,1,1,1,0,1,1,0,1,0,72,1,1,0,0,0,9,0,0,1,0,1,0,0,0.0,0,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410078,1,0,2,37,5,6,2012,13,3,3,42.60674444,-120.4182833,1,0,1,1,1,0,1,10,0,1,0,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410079,1,0,2,29,5,7,2012,10,5,4,42.42831389,-123.1136611,5,0,1,1,4,0,1,1,0,1,0,63,1,1,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,72
410080,1,0,4,67,5,1,2012,17,6,4,45.76128889,-123.1315944,35,0,1,1,4,0,1,1,0,1,0,28,1,3,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410081,2,0,2,5,5,2,2012,15,15,6,45.44230833,-122.4544694,12,2,1,1,1,0,1,1,0,1,1,63,1,1,0,0,0,9,1,1,0,0,0,0,0,0.0,0,999,1,0,0,1,0,99,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410082,1,1,1,19,4,4,2012,23,4,4,42.97445,-123.3288972,8,0,1,1,1,0,2,10,0,1,0,40,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410083,1,0,1,57,4,6,2012,18,2,2,45.56888056,-123.9420194,1,0,1,1,4,0,1,10,0,1,1,65,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410084,3,0,2,51,5,4,2012,1,14,6,45.52239167,-122.5106806,30,0,3,2,5,0,3,1,0,1,1,30,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,95,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410085,1,1,2,51,5,4,2012,20,15,6,45.51491667,-122.6773722,9,0,2,2,1,0,5,1,0,1,0,38,2,1,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410086,1,0,1,47,5,7,2012,0,1,1,45.07608056,-122.9567,42,0,1,1,4,0,2,1,0,1,0,22,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410087,1,1,4,53,5,7,2012,14,2,3,45.060925,-123.5565639,9,0,1,1,1,0,1,10,0,1,0,23,3,2,0,0,0,0,0,1,0,0,0,0,0,0.0,1,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410088,2,0,3,67,5,7,2012,15,4,4,45.42041111,-123.0650833,1,0,1,1,1,0,1,10,0,1,0,53,2,0,1,0,0,9,0,0,1,0,0,0,0,1.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410089,1,0,1,59,5,7,2012,2,4,3,45.73596111,-118.8076278,35,0,1,1,4,0,2,1,0,1,1,40,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410090,2,0,4,67,5,4,2012,7,13,3,45.49966111,-122.9232861,12,6,1,1,1,0,1,1,0,1,0,26,3,1,0,0,0,9,1,0,0,0,0,0,0,1.0,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
